docid	prediction
ZSJnW6faaNFQoqq4ALqYg	4
Rcbv11hm5AYEwZyqYwAvg	2
rkRTjhu5szaBggeFVcVJlA	4
dhmeDsQGUS1FXMLs49SWjQ	4
z9zfIMYmRRCE4ggfOIieEw	4
Xtb3pGSh39bqcozkBECw	4
DOUflAGzxLsXG6xOmR1w	4
0RxCEWURe08CTcZt95F4AQ	2
MzUg5twEcCyd0X6lBMP2Lg	2
uNlw2D5CYKk0wjNxLtYw	4
OtJzdwItIZrDEw7zSsGC9w	4
OiPjq9laAwR0RrLKzEiBg	2
Ear2u56nOFhoXpkFc7cAg	4
AMxo2frXTlaOqRLstWZOw	4
HqtEtHHDgSM0ctJHehaWaw	2
MS4cwENw3pybvd2EbnPc5w	4
PFmocUOXp92QWVDaFA	4
Wi9nelif4zOl3Vux2tvyXw	2
YHbdCgGuNCKgKFfPawh4MQ	4
zXIEOzL4NsyFzn5dbZudkQ	2
kWHCkWRa4uwNAC2pwcwg	2
xOPovcA4LBXS9JbupGObCQ	2
gjWVccNw6kB2UycZAEzyQg	2
JemvAfRVgCASkI3uG3Vffg	4
r1HxaW8hCo1FE9wrkchTg	4
4kkI0UXYIHKxuJb5uo5WYg	2
XPT5TeBby2ehdpyDLVVu0w	2
oFCYz6HmRqQxrERVC2bn7A	4
gNiEcoEDgLiQ2XJLqnOFrw	2
iwIos1vaQ8d7cWM3X8RZcw	2
IPPY3JMCtT33YVnn4vzg	4
pe11Rpin6Zto2RlGdZI2g	4
NvJajdzohHyEhMBzfzpJMw	2
Mkptp6T0QPt3g85UYuJA	2
eRIxO4qj4dOLbYYEi2Lgkg	2
NzQAxxtPLKxrzdfNsNPbcQ	2
XZXxnDzC4W8p0itQTOGA	4
5O2zENU16a41zgTpgvuYrg	2
QcS7p8dGmOxAsPd3K5FnQ	4
9xizfHBru571CnJ5MNCRA	2
zlb4jug6LFygvZmhxmIGYg	2
AQ9Rvu4VptNY5s3PSMOJw	4
AGuqCk2qmwAEH91CBiCkWg	4
sgT9K9IAcH8X8xJgSypuvA	4
wdnJjV63trYgSh55DASlw	4
UBzOEtSK1X1Ej7EIv54bQ	2
FfwKNl6dDkql7zNs4t6AfQ	2
qcYVoRfS5bCJ7WPeDalKg	4
orQc1Pf45m4yqvelSNb7Q	2
Pqnr1S7PXoUqSuGqJqYDlA	2
0HopjwSWGVfXeOw5Agadmg	2
oGB8OmAp0SWSmycxhA4NQ	4
eHH28w3VfhM9GNUjgrzrgg	4
G1Yl5jXMA3SI4AAMlYD9rw	4
pCeYha3SCm6dDrWrpuqZQ	2
qsGzcJoYXfs8dloXKcY27w	4
HPzDaSpqImBNFqrQnzHTA	2
Tt2wr1JUsU5XpUKNXCXzg	4
nX5vLM62gnpHwRc66RAk3w	2
SeKXTzndnk1PPyrZ8sEXw	2
jCQIsQBnt19jjKiinZMmTQ	4
9rGCzoB2R9ypcxd3sOWVw	4
PDXHVsj0HpKW0FrPxv9X4Q	2
8VgrUvvj6dAZ9PLwUPsHAw	4
pUX9YXHyZh8rzaYtuQ7tVQ	2
pwbagO112bPBkWsp2QRqg	4
RTEpdt9YEA64g7qe1FMGSg	4
bXfEWJlxol5sHtH3UuTQ	4
O1XRHpdG7yUEeLtzcyCZcA	4
Ndd2bxkAC2zgBwQs2T08A	2
RW7ymWqzpkON4SnNFHSAw	2
3NqYNudoidsaxKhQxmJpJA	2
l52vf2hq0H1T9pLGBuiqQ	2
hUPkxsTf9wsjAeng9upgQ	4
rlff8Vm5FEiOGinkzwWYg	2
wjPK0stv7c4JdRXo57SKA	2
rfRUo11E86KmNBg6lJFOfg	2
BKO574v4MH4AQK6IN15TXw	2
tgPIyJ87iE7YXk7O7ltdA	2
4QPO78MiuIgzpSUhkLzBZQ	2
akjKTPZCtA91dI3q3cyRXw	4
b4VJro0kbeTmn7ndhVKRuA	4
6Xjwdfm8fWlcIA39QUyMQ	4
YNlIluNBGUw8nTGJJVZ6g	2
QYRavwhAQkjgYVOHUWcig	4
DdKOmGS5tcdaWKnhClghBw	2
2KlP7Y0rGF6vlLDzjveA	2
N3UMc0c6qUu5tsjkiv0gpQ	2
2sfx3Ii3rWKoV4kl4rRkw	2
2usW1uFIlRM3Pr9ptomI9g	2
4lnqQIQGwgcMgO2JUuPF6w	4
qkyNXcLjSIUEVLRaTehP4Q	2
BZPppzSkzRd2bFC71xu0g	4
IkMtbjK5ihnt48tUKquyMA	4
xq57HvBC2Rl8RdzF33t3vg	2
it7nhOve3lkjSWpiZg7TwA	2
Ivn5n8cv3fUQrm1BN18cYQ	4
ynAIF3MtgdX5ksKzVNuDw	4
9Y4tVmtpFCm9uaGtvbBAuA	4
CB6fMlHA2byooi5nc9aA	4
eYQffqMIJIFUeZr8b2D0yA	2
AIB5HueYDZ1zJT4mJ4qF7Q	2
8Tk6AFKUBREz4XwtpF9Q	4
Mg2dJXG1yeHL1wmnjpFoVw	4
Y19BcxJpyMN1EExLekxaqQ	4
0luIj22eUYe0PvmGqPuT3Q	2
fZwBiZtS71pziq5L5LAs9w	2
ocWTLghWWFW4wgfUX1aupQ	4
ssy3XWMG12swsL8GE9vtg	2
oIQEQjYTpneKIj65998mzg	2
NR6A1fd0aI22048r7CWgyw	4
8QesJI2h9NadQ9G0oR4b9g	4
i1QApSQt8a1PD65qMy4jw	4
t9shce4Ut9BMYND9Eif8g	4
VYw2afIpmuLY9aUcjXZRA	4
3ht5RE0RZsrQJ8Oopee0sA	2
